,Date,Open,High,Low,Close,Adj Close,Volume
1241,2004-12-10,4.645,4.717857,4.621428,4.6535720000000005,4.049078,193943400
1242,2004-12-13,4.687143,4.707143,4.614286,4.636428,4.034161,98760200
1243,2004-12-14,4.671429,4.705714,4.644286,4.663571,4.057777,103930400
1244,2004-12-15,4.66,4.675714,4.618571,4.661428,4.055912,99590400
1245,2004-12-16,4.725,4.821429,4.717857,4.757143,4.139195,281528800
1246,2004-12-17,4.774286,4.788571,4.635714,4.642143,4.039134,195874000
1247,2004-12-20,4.676429,4.714286,4.411428,4.48,3.898052,292031600
1248,2004-12-21,4.54,4.555,4.4,4.549286,3.958337,266103600
1249,2004-12-22,4.547143,4.597143,4.5285720000000005,4.553571,3.962067,141457400
1250,2004-12-23,4.553571,4.589286,4.542857,4.572143,3.978226,61482400
1251,2004-12-27,4.628572,4.6535720000000005,4.491428,4.511428,3.925399,139872600
1252,2004-12-28,4.521429,4.589286,4.432143,4.584286,3.988791,152938800
1253,2004-12-29,4.557857,4.6414279999999986,4.540714,4.602857,4.004951,112390600
1254,2004-12-30,4.6292860000000005,4.645,4.587143,4.628572,4.027325,86335200
1255,2004-12-31,4.635,4.642857,4.573571,4.6,4.002464,69647200
1256,2005-01-03,4.627143,4.650714,4.471428,4.520714,3.933478,172998000
1257,2005-01-04,4.556428,4.676429,4.497857,4.567143,3.973876,274202600
1258,2005-01-05,4.604286,4.660714,4.575,4.607143,4.00868,170108400
1259,2005-01-06,4.619286,4.636428,4.523571,4.610714,4.011787,176388800
1260,2005-01-07,4.642857,4.973571,4.625,4.946429,4.3038919999999985,556862600
1261,2005-01-10,4.987857,5.05,4.848571,4.925714,4.285868,431327400
1262,2005-01-11,4.875,4.939286,4.581429,4.611429,4.012408,652906800
1263,2005-01-12,4.675,4.707143,4.521429,4.675714,4.0683440000000015,479925600
1264,2005-01-13,5.265,5.315714,4.980714,4.985714,4.338075,791179200
1265,2005-01-14,5.017857,5.122857,4.942143,5.014286,4.362935,442685600
1266,2005-01-18,4.989286,5.05,4.839286,5.046429,4.390902,251615000
1267,2005-01-19,5.035,5.104286,4.982143,4.991428,4.343046,187973800
1268,2005-01-20,4.975,5.090714,4.962143,5.032857,4.379093,228730600
1269,2005-01-21,5.093572,5.114286,5.0,5.035,4.3809580000000015,227833200
1270,2005-01-24,5.07,5.127143,5.039286,5.054286,4.397739,210407400
1271,2005-01-25,5.097857,5.202857,5.067143,5.146429,4.477911,242307800
1272,2005-01-26,5.19,5.196429,5.087143,5.160714,4.490341,184874200
1273,2005-01-27,5.154286,5.208571,5.110714,5.188571,4.514582,124056800
1274,2005-01-28,5.187143,5.284286,5.174286,5.284286,4.597862,200403000
1275,2005-01-31,5.327143,5.563571,5.322143,5.492857,4.77934,420274400
1276,2005-02-01,5.503572,5.555,5.47,5.537857,4.818494,169598800
1277,2005-02-02,5.567857,5.707857,5.549286,5.687857,4.94901,255015600
1278,2005-02-03,5.65,5.673572,5.523571,5.557857,4.835896,182912800
1279,2005-02-04,5.562143,5.637857,5.537857,5.631429,4.899911,140889000
1280,2005-02-07,5.637857,5.667857,5.535714,5.638571,4.906126,131114200
1281,2005-02-08,5.647857,5.812857,5.627857,5.7785720000000005,5.02794,222504800
